role,name,team
student,damithc,CS2103-T00-1
student,bluesky0911,CS2103-T00-2
student,anisyusof-sc,CS2103-T00-3
student,ziqing26,CS2103-T00-4
student,simonjulianl,CS2103-T00-5
student,marcuschj,CS2103-T00-6
student,ganhongyao,CS2103-T00-7
student,petermonky,CS2103-T00-1
student,takufunkai,CS2103-T00-2
student,kevinchua6,CS2103-T00-3
student,Zenlzb,CS2103-T00-4
student,s7u4rt99,CS2103-T00-5
student,angnobel,CS2103-T00-6
student,chownces,CS2103-T00-7
student,gok99,CS2103-T00-1
student,marcuspeh,CS2103-T00-2
student,zhongfu,CS2103-T00-3
student,zognin,CS2103-T00-4
student,tjtanjin,CS2103-T00-5
student,aizatazhar,CS2103-T00-6
student,benedictchuajj,CS2103-T00-7
student,hanstirtaputra,CS2103-T00-1
student,AudreyFelicio,CS2103-T00-2
student,tohyuting,CS2103-T00-3
student,VimuthM,CS2103-T00-4
student,thikhinab,CS2103-T00-5
student,jbkim1999,CS2103-T00-6
student,tau-bar,CS2103-T00-7
student,ckcherry23,CS2103-T00-1
student,Punpun1643,CS2103-T00-2
student,likeabowx,CS2103-T00-3
student,Py0000,CS2103-T00-4
student,cwq2326,CS2103-T00-5
student,BryannYeap,CS2103-T00-6
student,DALIN-Prog,CS2103-T00-7
student,ooawagaeri,CS2103-T00-1
student,danielsimre,CS2103-T00-2
student,kevin9foong,CS2103-T00-3
student,jamesyeap,CS2103-T00-4
student,kkangs0226,CS2103-T00-5
student,gycgabriel,CS2103-T00-6
student,chunweii,CS2103-T00-7
student,luminousleek,CS2103-T00-1
